Alder;mu
1;0,000267258
2;0,000158899
3;7,50E-05
4;5,70E-05
5;5,26E-05
6;3,98E-05
7;3,97E-05
8;3,84E-05
9;3,62E-05
10;3,52E-05
11;3,65E-05
12;4,11E-05
13;4,73E-05
14;5,37E-05
15;6,07E-05
16;6,73E-05
17;7,42E-05
18;8,31E-05
19;9,38E-05
20;0,00010157
21;0,000108512
22;0,000111006
23;0,000110798
24;0,000104711
25;0,000100182
26;9,70E-05
27;9,20E-05
28;9,55E-05
29;0,000103569
30;0,00011761
31;0,000136355
32;0,000154998
33;0,000169665
34;0,00017951
35;0,000193913
36;0,000208133
37;0,000237359
38;0,000269504
39;0,000307624
40;0,000337069
41;0,000360139
42;0,000383967
43;0,000402253
44;0,000434978
45;0,00048267
46;0,00054632
47;0,00061252
48;0,000699013
49;0,000802078
50;0,000914669
51;0,001061197
52;0,001220488
53;0,001391552
54;0,001587484
55;0,001793619
56;0,002031143
57;0,002316665
58;0,002658152
59;0,003053369
60;0,003517944
61;0,003935382
62;0,00435349
63;0,004832062
64;0,00528836
65;0,005785415
66;0,006349999
67;0,006896888
68;0,007391485
69;0,007866567
70;0,008373384
71;0,008962661
72;0,009801697
73;0,010872675
74;0,012147304
75;0,013572223
76;0,01507252
77;0,01695223
78;0,019107225
79;0,021758957
80;0,024891236
81;0,028787138
82;0,033198714
83;0,038322899
84;0,044505304
85;0,052146681
86;0,060931474
87;0,070992426
88;0,082368157
89;0,094500805
90;0,107942602
91;0,123207144
92;0,140205126
93;0,159207875
94;0,180636066
95;0,203859728
96;0,229143329
97;0,25646693
98;0,28570898
99;0,31680847
100;0,349483046
101;0,381975561
102;0,415156015
103;0,448685544
104;0,482187202
105;0,51538302
106;0,547881871
107;0,579362974
108;0,610607841
109;0,640273842
110;0,667997217
111;0,667997217
112;0,667997217
113;0,667997217
114;0,667997217
115;0,667997217
116;0,667997217
117;0,667997217
118;0,667997217
119;0,667997217
120;0,667997217
121;0,667997217
122;0,667997217
123;0,667997217
124;0,667997217
125;0,667997217
